src,dst,overlap_days,days_within_km,mean_distance_km,src_days_active,dst_days_active,overlap_ratio_days,close_ratio_days,files_used
412000690,412325200,3736,1568,139.01772046156097,734,444,8.414414414414415,3.531531531531531,2922
412061791,412508302,1208,378,251.852263028098,182,342,6.637362637362638,2.076923076923077,2922
412427363,412432384,998,132,279.51215180235897,431,355,2.811267605633802,0.3718309859154929,2922
108301290,412438845,105,7,323.1559241639726,259,66,1.5909090909090908,0.106060606060606,2922
780678229,412322669,523,20,129.03776198447804,256,130,4.023076923076923,0.1538461538461538,2922
412436755,412427824,414,3,233.52228842665704,208,199,2.080402010050251,0.0150753768844221,2922
15201,412322501,819,540,137.36378409764845,126,372,6.5,4.285714285714286,2922
412061037,412448746,198,28,218.5137974700289,228,311,0.868421052631579,0.1228070175438596,2922
412427396,412082569,460,2,569.0097155687564,236,145,3.1724137931034484,0.0137931034482758,2922
412425192,998508450,820,53,189.0313571273871,328,220,3.727272727272727,0.2409090909090909,2922
978925333,415131223,2579,864,138.6261532766287,515,486,5.306584362139918,1.7777777777777777,2922
