src,dst,overlap_days,days_within_km,mean_distance_km,src_days_active,dst_days_active,overlap_ratio_days,close_ratio_days,files_used
412451524,800036186,7,0,1700.3478102138704,8,32,0.875,0.0,100
224213490,412423917,17,0,10511.692945492727,58,27,0.6296296296296297,0.0,100
412438482,412416177,3,0,193.506767115609,27,3,1.0,0.0,100
800034949,247083220,21,0,9269.628723821543,47,38,0.5526315789473685,0.0,100
412436493,224213490,7,0,10616.373738239772,16,58,0.4375,0.0,100
412436222,900304132,1,0,283.6400830481714,14,12,0.08333333333333333,0.0,100
800034949,200009563,2,0,491.530184157192,47,3,0.6666666666666666,0.0,100
412428164,412417761,2,0,366.9136681508038,20,3,0.6666666666666666,0.0,100
412449858,412437524,6,0,215.32636216981996,15,15,0.4,0.0,100
412414040,800044058,3,0,1041.6685236271844,17,10,0.3,0.0,100
228004600,412205513,22,0,8930.767932923338,79,30,0.7333333333333333,0.0,100
224042880,412420679,5,0,10500.799070377238,36,9,0.5555555555555556,0.0,100
412417761,412416881,0,0,,3,4,0.0,0.0,100
412422375,412428225,2,2,15.348055224654154,2,28,1.0,1.0,100
412437423,412435485,1,1,10.097827681059655,10,6,0.16666666666666666,0.16666666666666666,100
412284298,900017023,3,0,1197.833812484868,17,15,0.2,0.0,100
412435615,800036186,0,0,,7,32,0.0,0.0,100
412413171,412416881,2,0,241.6573251567321,35,4,0.5,0.0,100
412417953,412423558,5,0,242.3140139865074,14,7,0.7142857142857143,0.0,100
413250104,412449922,6,0,1458.256978749481,11,25,0.5454545454545454,0.0,100
412412076,412322072,5,0,975.1619233560926,9,15,0.5555555555555556,0.0,100
412436389,412428587,1,0,229.12233395079,1,3,1.0,0.0,100
412419034,412283613,2,0,1122.902888407637,6,12,0.3333333333333333,0.0,100
412400016,412436314,1,0,97.59406095065869,5,13,0.2,0.0,100
412422887,412410389,6,0,215.7492136147694,27,14,0.42857142857142855,0.0,100
412432069,412436203,1,0,512.5746191525172,8,5,0.2,0.0,100
224052850,412410161,1,0,11075.655709134347,13,8,0.125,0.0,100
271072061,900017023,7,0,8157.358367141367,31,15,0.4666666666666667,0.0,100
412423144,412415321,3,0,214.64609390972564,8,16,0.375,0.0,100
412423558,412327735,0,0,,7,4,0.0,0.0,100
412322072,118888880,1,0,786.6615275525892,15,2,0.5,0.0,100
800037097,412423144,2,0,840.9433112574845,9,8,0.25,0.0,100
413060492,412285103,0,0,,3,18,0.0,0.0,100
413242213,500080001,0,0,,7,5,0.0,0.0,100
412415151,412421972,2,0,243.67650181856743,18,3,0.6666666666666666,0.0,100
413037008,245715000,18,0,8257.119423105378,18,81,1.0,0.0,100
800037097,412449922,5,0,1065.8970498762524,9,25,0.5555555555555556,0.0,100
412366514,412410369,0,0,,7,8,0.0,0.0,100
412428286,412423056,5,0,120.6963944237719,24,19,0.2631578947368421,0.0,100
412438894,412420012,2,0,58.8856765061366,8,14,0.25,0.0,100
247061730,412425941,8,0,9298.750051369509,58,11,0.7272727272727273,0.0,100
412410128,412416248,1,1,13.310872783634139,11,3,0.3333333333333333,0.3333333333333333,100
412328686,412428224,1,0,1202.1056371906327,6,14,0.16666666666666666,0.0,100
412436239,412419034,1,0,31.914786349117023,26,6,0.16666666666666666,0.0,100
412418098,412844812,4,0,1092.6158798914812,23,11,0.36363636363636365,0.0,100
224105890,412430671,3,0,10506.600288157577,37,6,0.5,0.0,100
412427808,412452644,1,0,779.6725487893578,6,10,0.16666666666666666,0.0,100
412214164,900017023,2,0,1007.6534006860755,8,15,0.25,0.0,100
412435615,412327735,0,0,,7,4,0.0,0.0,100
412422153,263401660,4,0,10667.48503632389,16,34,0.25,0.0,100
224050280,412410238,3,0,10217.796351240902,45,6,0.5,0.0,100
412427987,200006453,6,0,339.54854760581594,13,25,0.46153846153846156,0.0,100
412322072,412421743,5,0,726.0172479163555,15,8,0.625,0.0,100
412422375,412400074,0,0,,2,9,0.0,0.0,100
412283613,219018405,6,0,7442.714262276014,12,59,0.5,0.0,100
412417557,412422979,1,0,347.65267199854463,5,14,0.2,0.0,100
412423115,412328575,4,0,605.1263307543023,8,23,0.5,0.0,100
412452644,412435615,1,0,710.0169041902365,10,7,0.14285714285714285,0.0,100
412322072,412431026,1,0,752.7801695346961,15,8,0.125,0.0,100
412441822,412421739,4,0,295.23991944112026,27,11,0.36363636363636365,0.0,100
412433493,412428545,2,0,284.9303190294556,4,16,0.5,0.0,100
800037097,412844812,4,0,274.3829956297609,9,11,0.4444444444444444,0.0,100
412439249,412332762,2,0,640.6826986567314,14,32,0.14285714285714285,0.0,100
412431788,412412407,0,0,,6,5,0.0,0.0,100
412441943,412283827,6,0,1276.856662632036,26,10,0.6,0.0,100
412436239,412328371,4,0,995.2281859822406,26,7,0.5714285714285714,0.0,100
412438709,130700536,5,0,808.6197175009695,10,16,0.5,0.0,100
800010420,224105890,8,0,9603.680409268607,15,37,0.5333333333333333,0.0,100
247121920,413080492,6,0,9177.519642560721,45,14,0.42857142857142855,0.0,100
412421964,900304132,1,0,83.27293477302915,16,12,0.08333333333333333,0.0,100
412461376,412415321,3,1,138.6485872518713,7,16,0.42857142857142855,0.14285714285714285,100
412425119,412428253,3,0,176.37328498488537,15,18,0.2,0.0,100
219014161,412420104,46,0,10935.448323091357,78,53,0.8679245283018868,0.0,100
412206991,412437371,3,0,1070.5074412707647,16,6,0.5,0.0,100
412420679,412413383,4,1,77.96244496593556,9,27,0.4444444444444444,0.1111111111111111,100
413080492,412426537,2,0,165.03515963586094,14,16,0.14285714285714285,0.0,100
701006083,412443375,15,0,18259.131713569142,60,18,0.8333333333333334,0.0,100
412410389,800000142,7,0,468.12155259349964,14,23,0.5,0.0,100
412985698,412443375,4,1,348.5123209958138,10,18,0.4,0.1,100
244567000,412435823,2,0,9062.975021204007,51,7,0.2857142857142857,0.0,100
227314040,413037008,16,0,8760.168613474369,73,18,0.8888888888888888,0.0,100
412450427,111203412,3,1,137.44118017449088,23,8,0.375,0.125,100
412420012,500080001,1,0,25.449260086673426,14,5,0.2,0.0,100
412420104,900304132,5,0,17138.65553438918,53,12,0.4166666666666667,0.0,100
263500215,413000084,3,0,10658.887183921694,26,9,0.3333333333333333,0.0,100
