src,dst,bucket
130400919,412432709,2017-08-07 00:00:00
130400919,900018515,2017-08-07 00:00:00
227319580,228149700,2017-08-07 00:00:00
367026970,367095130,2017-08-07 00:00:00
367095130,367630000,2017-08-07 00:00:00
412365752,926004879,2017-08-07 00:00:00
412432709,900018515,2017-08-07 00:00:00
701000607,701078000,2017-08-07 00:00:00
110705989,412433952,2017-08-08 00:00:00
244644000,244750011,2017-08-08 00:00:00
257216940,258529000,2017-08-08 00:00:00
320602597,412439116,2017-08-08 00:00:00
408901561,408906921,2017-08-08 00:00:00
412345645,412413361,2017-08-08 00:00:00
412414339,412418557,2017-08-08 00:00:00
412421366,412422647,2017-08-08 00:00:00
412437008,902588618,2017-08-08 00:00:00
800008308,900006409,2017-08-08 00:00:00
8814618,412364693,2017-08-09 00:00:00
150701936,412432606,2017-08-09 00:00:00
251209000,251847570,2017-08-09 00:00:00
258052000,258545000,2017-08-09 00:00:00
412425361,412429154,2017-08-09 00:00:00
416001504,416201800,2017-08-09 00:00:00
88588,900011464,2017-08-10 00:00:00
200005498,412066699,2017-08-10 00:00:00
224022130,224095140,2017-08-10 00:00:00
224052450,224082870,2017-08-10 00:00:00
231751000,273326830,2017-08-10 00:00:00
251228000,251848640,2017-08-10 00:00:00
338603000,367084590,2017-08-10 00:00:00
412088186,412434203,2017-08-10 00:00:00
412410021,412860085,2017-08-10 00:00:00
200019473,412340960,2017-08-11 00:00:00
200021247,412432877,2017-08-11 00:00:00
200021247,870400189,2017-08-11 00:00:00
200021247,900000195,2017-08-11 00:00:00
257409500,257576600,2017-08-11 00:00:00
273316510,273420840,2017-08-11 00:00:00
412212839,413235579,2017-08-11 00:00:00
412365041,412366335,2017-08-11 00:00:00
412421535,412423036,2017-08-11 00:00:00
412432877,870400189,2017-08-11 00:00:00
412432877,900000195,2017-08-11 00:00:00
412432877,900017342,2017-08-11 00:00:00
870400189,900000195,2017-08-11 00:00:00
900000195,900017342,2017-08-11 00:00:00
