src,dst,bucket,label,score,src_mid,dst_mid,src_flag_cell,dst_flag_cell,src_gear,dst_gear
150702295,366850380,2017-08-11 00:00:00,0,0.077436938881874,150,366,UNKNOWN-CHN,,set_longlines,
412421535,412423036,2017-08-11 00:00:00,1,0.077436938881874,412,412,CHN,CHN,trawlers,trawlers
257409500,257576600,2017-08-11 00:00:00,1,0.077436938881874,257,257,NOR,NOR,fishing,fixed_gear
900000195,900017342,2017-08-11 00:00:00,1,0.077436938881874,900,900,CHN,CHN,trawlers,trawlers
870400189,900000195,2017-08-11 00:00:00,1,0.077436938881874,870,900,CHN,CHN,trawlers,trawlers
200021247,900000195,2017-08-11 00:00:00,1,0.077436938881874,200,900,CHN,CHN,trawlers,trawlers
412432877,900000195,2017-08-11 00:00:00,1,0.077436938881874,412,900,CHN,CHN,trawlers,trawlers
412432877,900017342,2017-08-11 00:00:00,1,0.077436938881874,412,900,CHN,CHN,trawlers,trawlers
200021247,870400189,2017-08-11 00:00:00,1,0.077436938881874,200,870,CHN,CHN,trawlers,trawlers
412432877,870400189,2017-08-11 00:00:00,1,0.077436938881874,412,870,CHN,CHN,trawlers,trawlers
412212839,413235579,2017-08-11 00:00:00,1,0.077436938881874,412,413,CHN,,fishing,
200021247,412432877,2017-08-11 00:00:00,1,0.077436938881874,200,412,CHN,CHN,trawlers,trawlers
200019473,412340960,2017-08-11 00:00:00,1,0.077436938881874,200,412,,CHN,,fishing
273316510,273420840,2017-08-11 00:00:00,1,0.077436938881874,273,273,,RUS,,trawlers
412365041,412366335,2017-08-11 00:00:00,1,0.077436938881874,412,412,CHN,CHN,trawlers,trawlers
412365706,412413918,2017-08-11 00:00:00,0,0.077436938881874,412,412,,,,
412460151,415532155,2017-08-11 00:00:00,0,0.077436938881874,412,415,,,,
200020286,875401258,2017-08-11 00:00:00,0,0.077436938881874,200,875,CHN,UNKNOWN-CHN,trawlers,set_longlines
257355020,770576122,2017-08-11 00:00:00,0,0.077436938881874,257,770,,URY,,trawlers
245342000,412323924,2017-08-11 00:00:00,0,0.077436938881874,245,412,NLD,,set_gillnets,
238258440,412337216,2017-08-11 00:00:00,0,0.077436938881874,238,412,,,,
412214152,413070001,2017-08-11 00:00:00,0,0.077436938881874,412,413,,,,
237959000,412482422,2017-08-11 00:00:00,0,0.077436938881874,237,412,GRC,,other_purse_seines,
200008659,224552620,2017-08-11 00:00:00,0,0.077436938881874,200,224,,,,
412327004,412435036,2017-08-11 00:00:00,0,0.077436938881874,412,412,,,,
368085000,413543073,2017-08-11 00:00:00,0,0.077436938881874,368,413,,CHN,,fishing
412203601,440218050,2017-08-11 00:00:00,0,0.077436938881874,412,440,,,,
413262143,820040935,2017-08-11 00:00:00,0,0.077436938881874,413,820,,,,
200005498,412066699,2017-08-10 00:00:00,1,0.0774366185069084,200,412,CHN,CHN,trawlers,fishing
412365706,412413918,2017-08-10 00:00:00,0,0.0774366185069084,412,412,,,,
231751000,273326830,2017-08-10 00:00:00,1,0.0774366185069084,231,273,NOR,NOR,trawlers,trawlers
251228000,251848640,2017-08-10 00:00:00,1,0.0774366185069084,251,251,ISL,ISL,set_longlines,pole_and_line
412088186,412434203,2017-08-10 00:00:00,1,0.0774366185069084,412,412,UNKNOWN-CHN,CHN,trawlers,fishing
224052450,224082870,2017-08-10 00:00:00,1,0.0774366185069084,224,224,ESP,ESP,other_purse_seines,other_purse_seines
