src,dst,date,label
88588,900011464,2017-08-10,1
8814618,412364693,2017-08-09,1
110705989,412433952,2017-08-08,1
130400919,412432709,2017-08-07,1
130400919,900018515,2017-08-07,1
150701936,412432606,2017-08-09,1
150702295,366850380,2017-08-11,0
200005498,412066699,2017-08-10,1
200008659,224552620,2017-08-07,0
200008659,224552620,2017-08-08,0
200008659,224552620,2017-08-10,0
200008659,224552620,2017-08-11,0
200019473,412340960,2017-08-11,1
200020286,875401258,2017-08-07,0
200020286,875401258,2017-08-08,0
200020286,875401258,2017-08-09,0
200020286,875401258,2017-08-10,0
200020286,875401258,2017-08-11,0
200021247,412432877,2017-08-11,1
200021247,870400189,2017-08-11,1
200021247,900000195,2017-08-11,1
224022130,224095140,2017-08-10,1
224052450,224082870,2017-08-10,1
227319580,228149700,2017-08-07,1
231751000,273326830,2017-08-10,1
237959000,412482422,2017-08-08,0
237959000,412482422,2017-08-11,0
238258440,412337216,2017-08-11,0
244644000,244750011,2017-08-08,1
245342000,412323924,2017-08-11,0
251209000,251847570,2017-08-09,1
251228000,251848640,2017-08-10,1
257216940,258529000,2017-08-08,1
257355020,770576122,2017-08-11,0
257409500,257576600,2017-08-11,1
258052000,258545000,2017-08-09,1
273316510,273420840,2017-08-11,1
320602597,412439116,2017-08-08,1
338603000,367084590,2017-08-10,1
367026970,367095130,2017-08-07,1
367095130,367630000,2017-08-07,1
368085000,413543073,2017-08-07,0
368085000,413543073,2017-08-08,0
368085000,413543073,2017-08-09,0
368085000,413543073,2017-08-10,0
368085000,413543073,2017-08-11,0
408901561,408906921,2017-08-08,1
412088186,412434203,2017-08-10,1
412203601,440218050,2017-08-07,0
412203601,440218050,2017-08-08,0
412203601,440218050,2017-08-09,0
412203601,440218050,2017-08-10,0
412203601,440218050,2017-08-11,0
412212839,413235579,2017-08-11,1
412214152,413070001,2017-08-08,0
412214152,413070001,2017-08-10,0
412214152,413070001,2017-08-11,0
412327004,412435036,2017-08-07,0
412327004,412435036,2017-08-08,0
412327004,412435036,2017-08-09,0
412327004,412435036,2017-08-10,0
412327004,412435036,2017-08-11,0
412345645,412413361,2017-08-08,1
412365041,412366335,2017-08-11,1
412365706,412413918,2017-08-07,0
412365706,412413918,2017-08-08,0
412365706,412413918,2017-08-09,0
412365706,412413918,2017-08-10,0
412365706,412413918,2017-08-11,0
412365752,926004879,2017-08-07,1
412410021,412860085,2017-08-10,1
412414339,412418557,2017-08-08,1
412421366,412422647,2017-08-08,1
412421535,412423036,2017-08-11,1
412425361,412429154,2017-08-09,1
412432709,900018515,2017-08-07,1
412432877,870400189,2017-08-11,1
412432877,900000195,2017-08-11,1
412432877,900017342,2017-08-11,1
412437008,902588618,2017-08-08,1
412460151,415532155,2017-08-07,0
412460151,415532155,2017-08-08,0
412460151,415532155,2017-08-10,0
412460151,415532155,2017-08-11,0
413262143,820040935,2017-08-07,0
413262143,820040935,2017-08-08,0
413262143,820040935,2017-08-09,0
413262143,820040935,2017-08-10,0
413262143,820040935,2017-08-11,0
416001504,416201800,2017-08-09,1
701000607,701078000,2017-08-07,1
800008308,900006409,2017-08-08,1
870400189,900000195,2017-08-11,1
900000195,900017342,2017-08-11,1
