src,dst,month,pos_days,neg_days
88588,900011464,2017-08,1.0,0.0
8814618,412364693,2017-08,1.0,0.0
110705989,412433952,2017-08,1.0,0.0
130400919,412432709,2017-08,1.0,0.0
130400919,900018515,2017-08,1.0,0.0
150701936,412432606,2017-08,1.0,0.0
150702295,366850380,2017-08,0.0,1.0
200005498,412066699,2017-08,1.0,0.0
200008659,224552620,2017-08,0.0,4.0
200019473,412340960,2017-08,1.0,0.0
200020286,875401258,2017-08,0.0,5.0
200021247,412432877,2017-08,1.0,0.0
200021247,870400189,2017-08,1.0,0.0
200021247,900000195,2017-08,1.0,0.0
224022130,224095140,2017-08,1.0,0.0
224052450,224082870,2017-08,1.0,0.0
227319580,228149700,2017-08,1.0,0.0
231751000,273326830,2017-08,1.0,0.0
237959000,412482422,2017-08,0.0,2.0
238258440,412337216,2017-08,0.0,1.0
244644000,244750011,2017-08,1.0,0.0
245342000,412323924,2017-08,0.0,1.0
251209000,251847570,2017-08,1.0,0.0
251228000,251848640,2017-08,1.0,0.0
257216940,258529000,2017-08,1.0,0.0
257355020,770576122,2017-08,0.0,1.0
257409500,257576600,2017-08,1.0,0.0
258052000,258545000,2017-08,1.0,0.0
273316510,273420840,2017-08,1.0,0.0
320602597,412439116,2017-08,1.0,0.0
338603000,367084590,2017-08,1.0,0.0
367026970,367095130,2017-08,1.0,0.0
367095130,367630000,2017-08,1.0,0.0
368085000,413543073,2017-08,0.0,5.0
408901561,408906921,2017-08,1.0,0.0
412088186,412434203,2017-08,1.0,0.0
412203601,440218050,2017-08,0.0,5.0
412212839,413235579,2017-08,1.0,0.0
412214152,413070001,2017-08,0.0,3.0
412327004,412435036,2017-08,0.0,5.0
412345645,412413361,2017-08,1.0,0.0
412365041,412366335,2017-08,1.0,0.0
412365706,412413918,2017-08,0.0,5.0
412365752,926004879,2017-08,1.0,0.0
412410021,412860085,2017-08,1.0,0.0
412414339,412418557,2017-08,1.0,0.0
412421366,412422647,2017-08,1.0,0.0
412421535,412423036,2017-08,1.0,0.0
412425361,412429154,2017-08,1.0,0.0
412432709,900018515,2017-08,1.0,0.0
412432877,870400189,2017-08,1.0,0.0
412432877,900000195,2017-08,1.0,0.0
412432877,900017342,2017-08,1.0,0.0
412437008,902588618,2017-08,1.0,0.0
412460151,415532155,2017-08,0.0,4.0
413262143,820040935,2017-08,0.0,5.0
416001504,416201800,2017-08,1.0,0.0
701000607,701078000,2017-08,1.0,0.0
800008308,900006409,2017-08,1.0,0.0
870400189,900000195,2017-08,1.0,0.0
900000195,900017342,2017-08,1.0,0.0
