src,dst,year_month,days_within_km,overlap_pairs,mean_lat_src,mean_lon_src,mean_lat_dst,mean_lon_dst,meet_lat,meet_lon
412410128,412416248,2013-01,0,0,,,,,,
412410128,412416248,2013-02,0,0,,,,,,
412410128,412416248,2013-03,0,0,,,,,,
412410128,412416248,2013-04,0,0,,,,,,
412410128,412416248,2013-05,0,0,,,,,,
412410128,412416248,2013-06,0,0,,,,,,
412410128,412416248,2013-07,0,0,,,,,,
412410128,412416248,2013-08,0,0,,,,,,
412410128,412416248,2013-09,0,0,,,,,,
412410128,412416248,2013-10,0,0,,,,,,
412410128,412416248,2013-11,0,0,,,,,,
412410128,412416248,2013-12,0,0,,,,,,
412410128,412416248,2014-01,0,0,,,,,,
412410128,412416248,2014-02,0,0,,,,,,
412410128,412416248,2014-03,0,0,,,,,,
412410128,412416248,2014-04,0,0,,,,,,
412410128,412416248,2014-05,0,0,,,,,,
412410128,412416248,2014-06,0,0,,,,,,
412410128,412416248,2014-07,0,0,,,,,,
412410128,412416248,2014-08,0,0,,,,,,
412410128,412416248,2014-09,0,0,,,,,,
412410128,412416248,2014-10,0,0,,,,,,
412410128,412416248,2014-11,0,0,,,,,,
412410128,412416248,2014-12,0,0,,,,,,
412410128,412416248,2015-01,0,0,,,,,,
412410128,412416248,2015-02,0,0,,,,,,
412410128,412416248,2015-03,5,8,26.692350955204216,120.62173171936759,26.61842261904762,120.72199404761905,26.65538678712592,120.67186288349332
412410128,412416248,2015-04,2,2,26.847727272727276,120.47954545454544,26.8875,120.6625,26.867613636363636,120.57102272727272
412410128,412416248,2015-05,0,0,,,,,,
412410128,412416248,2015-06,0,0,,,,,,
412410128,412416248,2015-07,0,0,,,,,,
412410128,412416248,2015-08,0,0,,,,,,
412410128,412416248,2015-09,0,0,,,,,,
412410128,412416248,2015-10,0,0,,,,,,
412410128,412416248,2015-11,7,12,28.220297619047617,122.01728835978837,28.181944444444444,122.15555555555557,28.20112103174603,122.08642195767197
412410128,412416248,2015-12,0,0,,,,,,
412410128,412416248,2016-01,0,0,,,,,,
412410128,412416248,2016-02,0,0,,,,,,
412410128,412416248,2016-03,0,0,,,,,,
412410128,412416248,2016-04,0,0,,,,,,
412410128,412416248,2016-05,0,0,,,,,,
412410128,412416248,2016-06,0,0,,,,,,
412410128,412416248,2016-07,0,0,,,,,,
412410128,412416248,2016-08,0,0,,,,,,
412410128,412416248,2016-09,0,0,,,,,,
412410128,412416248,2016-10,0,0,,,,,,
412410128,412416248,2016-11,0,0,,,,,,
412410128,412416248,2016-12,0,0,,,,,,
412410128,412416248,2017-01,0,0,,,,,,
412410128,412416248,2017-02,0,0,,,,,,
412410128,412416248,2017-03,0,0,,,,,,
412410128,412416248,2017-04,0,0,,,,,,
412410128,412416248,2017-05,0,0,,,,,,
412410128,412416248,2017-07,0,0,,,,,,
412410128,412416248,2017-08,0,0,,,,,,
412410128,412416248,2017-09,0,0,,,,,,
412410128,412416248,2017-10,0,0,,,,,,
412410128,412416248,2017-11,0,0,,,,,,
412410128,412416248,2017-12,0,0,,,,,,
412410128,412416248,2018-01,0,0,,,,,,
412410128,412416248,2018-02,0,0,,,,,,
412410128,412416248,2018-03,0,0,,,,,,
412410128,412416248,2018-04,0,0,,,,,,
412410128,412416248,2018-05,0,0,,,,,,
412410128,412416248,2018-06,0,0,,,,,,
412410128,412416248,2018-07,0,0,,,,,,
412410128,412416248,2018-08,0,0,,,,,,
412410128,412416248,2018-09,0,0,,,,,,
412410128,412416248,2018-10,0,0,,,,,,
412410128,412416248,2018-11,0,0,,,,,,
412410128,412416248,2018-12,0,0,,,,,,
412410128,412416248,2019-01,0,0,,,,,,
412410128,412416248,2019-02,0,0,,,,,,
412410128,412416248,2019-03,0,0,,,,,,
412410128,412416248,2019-04,0,0,,,,,,
412410128,412416248,2019-05,0,0,,,,,,
412410128,412416248,2019-07,0,0,,,,,,
412410128,412416248,2019-08,0,0,,,,,,
412410128,412416248,2019-09,0,0,,,,,,
412410128,412416248,2019-10,0,0,,,,,,
412410128,412416248,2019-11,0,0,,,,,,
412410128,412416248,2019-12,0,0,,,,,,
412420679,412413383,2013-01,0,0,,,,,,
412420679,412413383,2013-02,0,0,,,,,,
412420679,412413383,2013-03,0,0,,,,,,
412420679,412413383,2013-04,0,0,,,,,,
412420679,412413383,2013-05,0,0,,,,,,
412420679,412413383,2013-06,0,0,,,,,,
412420679,412413383,2013-07,0,0,,,,,,
412420679,412413383,2013-08,0,0,,,,,,
412420679,412413383,2013-09,0,0,,,,,,
412420679,412413383,2013-10,0,0,,,,,,
412420679,412413383,2013-11,0,0,,,,,,
412420679,412413383,2013-12,0,0,,,,,,
412420679,412413383,2014-01,0,0,,,,,,
412420679,412413383,2014-02,0,0,,,,,,
412420679,412413383,2014-03,0,0,,,,,,
412420679,412413383,2014-04,0,0,,,,,,
412420679,412413383,2014-05,0,0,,,,,,
412420679,412413383,2014-06,0,0,,,,,,
412420679,412413383,2014-07,0,0,,,,,,
412420679,412413383,2014-08,0,0,,,,,,
412420679,412413383,2014-09,0,0,,,,,,
412420679,412413383,2014-10,0,0,,,,,,
412420679,412413383,2014-11,0,0,,,,,,
412420679,412413383,2014-12,0,0,,,,,,
412420679,412413383,2015-01,0,0,,,,,,
412420679,412413383,2015-02,0,0,,,,,,
412420679,412413383,2015-03,0,0,,,,,,
412420679,412413383,2015-04,0,0,,,,,,
412420679,412413383,2015-05,0,0,,,,,,
412420679,412413383,2015-06,0,0,,,,,,
412420679,412413383,2015-07,0,0,,,,,,
412420679,412413383,2015-08,0,0,,,,,,
412420679,412413383,2015-09,0,0,,,,,,
412420679,412413383,2015-10,0,0,,,,,,
412420679,412413383,2015-11,0,0,,,,,,
412420679,412413383,2015-12,0,0,,,,,,
412420679,412413383,2016-01,0,0,,,,,,
412420679,412413383,2016-02,0,0,,,,,,
412420679,412413383,2016-03,0,0,,,,,,
412420679,412413383,2016-04,0,0,,,,,,
412420679,412413383,2016-05,0,0,,,,,,
412420679,412413383,2016-06,0,0,,,,,,
412420679,412413383,2016-07,0,0,,,,,,
412420679,412413383,2016-08,0,0,,,,,,
412420679,412413383,2016-09,0,0,,,,,,
412420679,412413383,2016-10,0,0,,,,,,
412420679,412413383,2016-11,0,0,,,,,,
412420679,412413383,2016-12,0,0,,,,,,
412420679,412413383,2017-01,5,8,29.912499999999998,122.36875,29.835,122.42,29.87375,122.394375
412420679,412413383,2017-02,0,0,,,,,,
412420679,412413383,2017-03,0,0,,,,,,
