src,dst,score,overlap_days,days_within_km,mean_distance_km,src_days_active,dst_days_active,overlap_ratio_days,close_ratio_days,files_used
15201,412322501,14.907232284545898,819,540,137.36378409764845,126,372,6.5,4.285714285714286,2922
412000690,412325200,15.918574333190918,3736,1568,139.01772046156097,734,444,8.414414414414415,3.531531531531531,2922
412061791,412508302,15.808635711669922,1208,378,251.852263028098,182,342,6.637362637362638,2.076923076923077,2922
978925333,415131223,14.804768562316896,2579,864,138.6261532766287,515,486,5.306584362139918,1.7777777777777777,2922
412427363,412432384,15.182794570922852,998,132,279.51215180235897,431,355,2.811267605633802,0.3718309859154929,2922
412425192,998508450,14.864188194274902,820,53,189.0313571273871,328,220,3.727272727272727,0.2409090909090909,2922
780678229,412322669,15.072501182556152,523,20,129.03776198447804,256,130,4.023076923076923,0.1538461538461538,2922
412061037,412448746,14.896636962890623,198,28,218.5137974700289,228,311,0.868421052631579,0.1228070175438596,2922
108301290,412438845,15.082548141479492,105,7,323.1559241639726,259,66,1.5909090909090908,0.106060606060606,2922
412436755,412427824,14.970954895019531,414,3,233.52228842665704,208,199,2.080402010050251,0.0150753768844221,2922
412427396,412082569,14.876785278320312,460,2,569.0097155687564,236,145,3.1724137931034484,0.0137931034482758,2922
412482661,988005881,14.855239868164062,524,0,989.4431719685016,528,39,13.435897435897436,0.0,2922
412410322,235103397,14.884960174560549,10218,0,9409.191748563291,775,2005,13.184516129032255,0.0,2922
273896300,224177240,14.946782112121582,20368,0,9787.292203363506,2408,1594,12.777917189460476,0.0,2922
257317000,316003227,15.982738494873049,5845,0,5308.709238587873,2156,468,12.489316239316238,0.0,2922
273810110,800050093,15.55044651031494,1303,0,4351.436272302367,2517,105,12.40952380952381,0.0,2922
227480000,247301090,14.912870407104492,16681,0,1747.2664849777796,2103,1346,12.393016344725112,0.0,2922
412322715,257391020,15.366168022155762,2884,0,7077.096302927188,233,2008,12.377682403433475,0.0,2922
245159000,224186490,14.993240356445312,4748,0,1880.995893143854,2038,389,12.205655526992288,0.0,2922
440152550,800049974,14.902054786682127,6058,0,853.6050121689061,1086,498,12.164658634538153,0.0,2922
413000179,235065442,14.880895614624023,3620,0,8385.781120147756,309,1905,11.715210355987056,0.0,2922
205243000,412470145,15.418512344360352,6546,0,9786.647405744046,1995,590,11.094915254237288,0.0,2922
412287252,431700348,15.197598457336426,4622,0,2079.498171229507,425,1526,10.87529411764706,0.0,2922
998512016,257006500,15.189069747924805,1379,0,7076.121347891732,136,1176,10.139705882352942,0.0,2922
250002378,412449921,15.268539428710938,3227,0,9730.3738707684,1112,321,10.052959501557632,0.0,2922
