config,embedding_dim,epochs,lr,cheb_k,use_hard_negatives,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std
emb16_ep5_lr0.001_cheb2,16,5,0.001,2,False,0.8744107142857143,0.15503078890809566,0.9224984882842026,0.09594065356763198
emb16_ep5_lr0.001_cheb3,16,5,0.001,3,False,0.8744107142857143,0.15503078890809566,0.9224984882842026,0.09594065356763198
emb16_ep5_lr0.01_cheb2,16,5,0.01,2,False,0.9691356528722602,0.0380228098997697,0.9725577676291962,0.03502309435285076
emb16_ep5_lr0.01_cheb3,16,5,0.01,3,False,0.9691356528722602,0.0380228098997697,0.9725577676291962,0.03502309435285076
emb16_ep10_lr0.001_cheb2,16,10,0.001,2,False,0.9896695483749056,0.014609464793647761,0.9910702475434618,0.012628577032670823
emb16_ep10_lr0.001_cheb3,16,10,0.001,3,False,0.9896695483749056,0.014609464793647761,0.9910702475434618,0.012628577032670823
emb16_ep10_lr0.01_cheb2,16,10,0.01,2,False,0.9549859457671959,0.053463064930614874,0.9741878070672714,0.027248520938624777
emb16_ep10_lr0.01_cheb3,16,10,0.01,3,False,0.9549859457671959,0.053463064930614874,0.9741878070672714,0.027248520938624777
emb32_ep5_lr0.001_cheb2,32,5,0.001,2,False,0.9947119472789115,0.00747843587670719,0.9961350859788359,0.005465813826136107
emb32_ep5_lr0.001_cheb3,32,5,0.001,3,False,0.9947119472789115,0.00747843587670719,0.9961350859788359,0.005465813826136107
emb32_ep5_lr0.01_cheb2,32,5,0.01,2,False,0.956623653628118,0.0288393953602401,0.9548553549624978,0.030399251798230657
emb32_ep5_lr0.01_cheb3,32,5,0.01,3,False,0.956623653628118,0.0288393953602401,0.9548553549624978,0.030399251798230657
emb32_ep10_lr0.001_cheb2,32,10,0.001,2,False,0.9281534863945579,0.05115622107851027,0.949452026643991,0.037523492753409236
emb32_ep10_lr0.001_cheb3,32,10,0.001,3,False,0.9281534863945579,0.05115622107851027,0.949452026643991,0.037523492753409236
emb32_ep10_lr0.01_cheb2,32,10,0.01,2,False,0.856281391723356,0.1924959364519778,0.910986471861472,0.1190865960945566
emb32_ep10_lr0.01_cheb3,32,10,0.01,3,False,0.856281391723356,0.1924959364519778,0.910986471861472,0.1190865960945566
