src,dst,overlap_days,days_within_km,mean_distance_km,files_used
257317000,316003227,8,0,5228.39602671373,60
813021762,412413289,5,0,705.506337391763,60
412000690,412325200,7,1,132.77450696210124,60
251146940,224072680,5,0,3374.3671609828825,60
412061791,412508302,2,0,141.57000433184012,60
224017870,412428302,5,0,9892.83217185105,60
412150903,237554000,0,0,,60
271072219,412671880,2,0,8963.30196774477,60
273810110,800050093,1,0,4953.696103843732,60
271072320,251422540,9,0,4225.115636306696,60
412436875,412836422,0,0,,60
412327536,316003779,2,0,8605.792435518822,60
205243000,412470145,4,0,9636.053047211033,60
224060150,412333102,0,0,,60
412322715,257391020,6,0,7074.344803827257,60
412334569,412457054,4,0,1468.8545437312061,60
431007759,440122430,10,0,989.6256125232516,60
250002378,412449921,6,0,9719.402716318908,60
922564322,412436139,2,0,230.99246909025993,60
205106000,258262000,16,0,1937.2816450270564,60
413772167,200012142,0,0,,60
412328726,251581340,5,0,14628.006201311804,60
200034921,440120830,2,0,766.8747382234387,60
412287252,431700348,6,0,2079.98733676625,60
412420857,412898896,0,0,,60
900000104,413013474,2,0,768.1592520081977,60
998512016,257006500,2,0,7016.622249600685,60
543345420,412460258,2,0,604.6115556326458,60
412427363,412432384,0,0,,60
224137980,412214311,5,0,9071.46595261589,60
800050719,900200966,1,0,661.2225269639347,60
440105310,238988810,9,0,8943.078687950296,60
800051209,412160104,2,0,1946.1330747475563,60
413670066,412329737,0,0,,60
249000150,412322136,2,0,9011.091277865196,60
228219900,926002068,0,0,,60
108301290,412438845,0,0,,60
900403696,800043359,0,0,,60
780678229,412322669,1,0,125.91993794384437,60
412330962,247054080,3,0,8440.71942056503,60
412477576,412366352,2,0,1356.6789488564386,60
412365879,258095070,1,0,6495.739657476108,60
800021236,227320070,3,0,9625.112037895085,60
245159000,224186490,4,0,1947.0863673067324,60
412326152,412567230,2,0,919.7154865734356,60
412436149,412201652,4,0,1080.536662233871,60
412324269,213432082,1,0,761.3137217373844,60
412436755,412427824,0,0,,60
412437805,412327483,0,0,,60
247071010,412331589,4,0,8321.280687075256,60
273896300,224177240,23,0,9880.621024842123,60
412480774,412214618,1,0,1683.5357765901927,60
247071970,412441347,4,0,9254.729702593415,60
412322743,247143230,2,0,9023.928862209093,60
900361019,412033504,1,0,750.0444663498737,60
200005403,412341689,0,0,,60
978925333,905108098,3,0,432.0062076483745,60
412364987,412472399,0,0,,60
238598010,412331602,5,0,8411.290919511473,60
412451244,412436469,1,0,558.6220641023998,60
412467837,412321053,0,0,,60
412331693,412436406,0,0,,60
227480000,247301090,23,0,1757.344520385529,60
440100368,412331807,0,0,,60
888810972,412444848,1,0,1089.622827554205,60
200010801,412349355,1,0,250.33764214128976,60
412322484,412422065,1,0,610.3110454901773,60
15201,412322501,1,0,27.50501867296069,60
440152550,800049974,7,0,852.94961270126,60
271072091,369519000,2,0,9990.35789637026,60
412061037,412448746,0,0,,60
412428937,440027420,2,0,767.8163950905093,60
800036171,224005830,6,0,9638.454260658365,60
271073074,367133080,5,0,7848.0036695653525,60
412410322,235103397,15,0,9216.951029466843,60
247301090,412432592,7,0,9479.212106083187,60
316003227,412000923,3,0,10950.085460304601,60
413000179,235065442,6,0,8507.893462283062,60
412427396,412082569,0,0,,60
412283766,412327406,0,0,,60
227301390,412213972,6,0,8670.252129832303,60
412450027,200007910,0,0,,60
211315220,412431564,2,0,8966.064306212429,60
412425192,998508450,2,0,180.63835394053802,60
412482661,988005881,1,0,1008.0985229744654,60
412431182,412444756,3,0,447.94951428242234,60
259127000,263401250,11,0,3254.8143809659236,60
412320152,224063280,2,0,10217.480400935954,60
100059863,912022008,1,0,957.1427669692864,60
247252280,859000000,8,0,8711.351421870835,60
227657280,412006566,2,0,10101.964080108493,60
413002668,431008269,2,0,1862.2504283344415,60
238622210,413001153,5,0,9141.529239922933,60
710903610,412322468,3,0,18799.62908666015,60
412348429,250003659,3,0,9055.480803214441,60
412435602,271062053,1,0,8288.16025551003,60
412469099,412324368,0,0,,60
978925333,415131223,6,0,123.89259265053026,60
412015016,227657280,2,0,8957.726694887795,60
