src,dst,overlap_days,days_within_km,mean_distance_km,files_used
257317000,316003227,389,0,5303.7380861343745,2922
813021762,412413289,341,0,739.0206740667298,2922
412000690,412325200,257,9,132.73398682947357,2922
251146940,224072680,242,0,3339.852750706685,2922
412061791,412508302,73,0,214.97873202817135,2922
224017870,412428302,177,0,9882.726748267758,2922
412150903,237554000,49,0,8215.335783187658,2922
271072219,412671880,153,0,9130.103299741415,2922
273810110,800050093,89,0,4362.793711372719,2922
271072320,251422540,429,0,4269.129033769056,2922
412436875,412836422,22,0,745.5202678309248,2922
412327536,316003779,46,0,8631.472266712462,2922
205243000,412470145,431,0,9789.795767427855,2922
224060150,412333102,41,0,10152.734974233996,2922
412322715,257391020,192,0,7076.325302496799,2922
412334569,412457054,146,0,1481.6084289863268,2922
431007759,440122430,454,0,992.3624867733462,2922
250002378,412449921,214,0,9732.307374207263,2922
922564322,412436139,59,0,233.4433942177535,2922
205106000,258262000,908,0,1893.0183770694614,2922
413772167,200012142,4,0,902.8673182289397,2922
412328726,251581340,159,0,14335.354250570337,2922
200034921,440120830,141,0,725.0573107597128,2922
235004768,900019302,22,0,9651.609260511927,2922
412287252,431700348,307,0,2079.0414412774644,2922
412420857,412898896,0,0,,2922
900000104,413013474,64,0,715.9255995647584,2922
998512016,257006500,91,0,7075.735668930024,2922
543345420,412460258,19,0,599.9204118631773,2922
412427363,412432384,66,0,254.38228565948205,2922
224137980,412214311,170,0,9075.622838152884,2922
800050719,900200966,53,0,432.64319445308763,2922
440105310,238988810,391,0,8926.488538929721,2922
800051209,412160104,84,0,1819.1220713489186,2922
413670066,412329737,6,0,995.1116367467556,2922
249000150,412322136,69,0,9013.545465874939,2922
228219900,926002068,112,0,9044.19893853237,2922
108301290,412438845,3,0,214.84059175838158,2922
900403696,800043359,7,0,1014.2927325483804,2922
780678229,412322669,35,0,129.85043150643182,2922
412330962,247054080,225,0,8420.74905898339,2922
412477576,412366352,160,0,1481.3812055989058,2922
412365879,258095070,12,0,6585.8453074211275,2922
800021236,227320070,137,0,9634.805058314962,2922
245159000,224186490,284,0,1867.5349444230617,2922
412326152,412567230,17,0,900.773375542773,2922
412436149,412201652,124,0,1066.4572871646408,2922
412324269,213432082,17,0,927.8191953818645,2922
412436755,412427824,29,0,229.2626615085608,2922
412437805,412327483,59,0,768.1400968940457,2922
247071010,412331589,233,0,8332.059229996376,2922
273896300,224177240,1357,0,9790.272506147943,2922
412480774,412214618,24,0,1914.6552939054088,2922
247071970,412441347,119,0,9257.70132815722,2922
412322743,247143230,57,0,9086.201977346296,2922
900361019,412033504,28,0,764.9752898283787,2922
200005403,412341689,36,0,535.8412806292894,2922
978925333,905108098,103,0,434.18515347849865,2922
412364987,412472399,166,0,1439.5225865689376,2922
238598010,412331602,138,0,8403.963494525078,2922
412451244,412436469,20,0,534.5840295187788,2922
412467837,412321053,36,0,1940.0220306737776,2922
412331693,412436406,13,0,701.4733038273578,2922
227480000,247301090,1113,0,1748.158832142778,2922
440100368,412331807,2,0,862.3687988703855,2922
888810972,412444848,31,0,1176.2128320015613,2922
200010801,412349355,33,0,230.45724912416432,2922
412322484,412422065,38,0,640.1659483528096,2922
15201,412322501,56,1,149.15560342442564,2922
440152550,800049974,400,0,853.3996381791984,2922
271072091,369519000,271,0,9765.38850545736,2922
412061037,412448746,12,0,206.07584313358748,2922
412428937,440027420,111,0,776.7956728804367,2922
800036171,224005830,318,0,9620.92862164612,2922
271073074,367133080,127,0,8139.332772676554,2922
412410322,235103397,687,0,9400.987594826474,2922
247301090,412432592,227,0,9479.630610708216,2922
316003227,412000923,81,0,10923.028560747482,2922
413000179,235065442,237,0,8378.151712482915,2922
412427396,412082569,30,0,568.9306083788068,2922
412283766,412327406,72,0,428.7666563140414,2922
227301390,412213972,367,0,8677.683932292019,2922
412450027,200007910,7,0,919.0631608101451,2922
211315220,412431564,98,0,8971.929588378873,2922
412425192,998508450,44,0,191.6945778022284,2922
412482661,988005881,39,0,989.8505664963286,2922
412431182,412444756,102,0,468.9658356090923,2922
259127000,263401250,477,0,2993.6735798571663,2922
412320152,224063280,168,0,10282.613198555022,2922
100059863,912022008,14,0,943.3376003260931,2922
247252280,859000000,245,0,8711.317202149312,2922
227657280,412006566,80,0,10110.276218360452,2922
413002668,431008269,113,0,1930.947940749635,2922
238622210,413001153,200,0,9132.762234008922,2922
710903610,412322468,127,0,18765.40725441901,2922
412348429,250003659,92,0,9036.339851920262,2922
412435602,271062053,21,0,8268.579724113108,2922
412469099,412324368,37,0,1790.9145940409126,2922
978925333,415131223,187,0,139.17738087960166,2922
412015016,227657280,200,0,8991.336051562137,2922
