src,dst,overlap_days,days_within_km,mean_distance_km,files_used
257317000,316003227,2728,0,5306.0842346687705,2922
813021762,412413289,2359,0,739.1227349358925,2922
412000690,412325200,1767,410,136.34000350232296,2922
251146940,224072680,1513,0,3339.493304551055,2922
412061791,412508302,550,88,231.88104875321199,2922
224017870,412428302,1204,0,9882.407773762867,2922
412150903,237554000,324,0,8201.314906395666,2922
271072219,412671880,1075,0,9136.21459155926,2922
273810110,800050093,609,0,4371.213794254079,2922
271072320,251422540,2993,0,4267.961258364779,2922
412436875,412836422,170,0,736.7002793010283,2922
412327536,316003779,331,0,8630.432308226284,2922
205243000,412470145,3060,0,9789.970513821607,2922
224060150,412333102,277,0,10154.635312971475,2922
412322715,257391020,1345,0,7076.559713586388,2922
412334569,412457054,1126,0,1482.5022228740968,2922
431007759,440122430,3182,0,992.8640951219888,2922
250002378,412449921,1499,0,9729.291366333076,2922
922564322,412436139,396,0,234.41643570769884,2922
205106000,258262000,6351,0,1893.2202091592314,2922
413772167,200012142,40,0,992.3565791397511,2922
412328726,251581340,1115,0,14290.229183973113,2922
200034921,440120830,972,0,722.0165602340218,2922
235004768,900019302,149,0,9651.389408341425,2922
412287252,431700348,2148,0,2079.58912189021,2922
412420857,412898896,0,0,,2922
900000104,413013474,436,0,714.1434754835446,2922
998512016,257006500,643,0,7075.273665946588,2922
543345420,412460258,108,0,609.556919496531,2922
412427363,412432384,463,10,278.7146614838321,2922
224137980,412214311,1242,0,9076.94875412662,2922
800050719,900200966,379,0,455.9352265059855,2922
440105310,238988810,2651,0,8928.149568740646,2922
800051209,412160104,577,0,1820.8183564999883,2922
413670066,412329737,33,0,1001.1320990406075,2922
249000150,412322136,490,0,9013.820783909212,2922
228219900,926002068,786,0,9039.620036644934,2922
108301290,412438845,33,0,334.26918793498663,2922
900403696,800043359,51,0,1001.4239042651378,2922
780678229,412322669,246,0,129.12402160085816,2922
412330962,247054080,1615,0,8424.766260104212,2922
412477576,412366352,1090,0,1486.7599888527345,2922
412365879,258095070,81,0,6580.911216227045,2922
800021236,227320070,1003,0,9635.587842559375,2922
245159000,224186490,2210,0,1881.2080296202425,2922
412326152,412567230,115,0,898.9529638053048,2922
412436149,412201652,893,0,1068.0268614609422,2922
412324269,213432082,111,0,940.4836843257416,2922
412436755,412427824,193,1,233.41355486714306,2922
412437805,412327483,421,0,760.0570413241002,2922
247071010,412331589,1596,0,8330.368115079935,2922
273896300,224177240,9502,0,9789.112037015113,2922
412480774,412214618,174,0,1880.6243024574878,2922
247071970,412441347,862,0,9257.958914851368,2922
412322743,247143230,441,0,9080.303268251748,2922
900361019,412033504,186,0,763.4552487873531,2922
200005403,412341689,230,0,530.1742169403954,2922
978925333,905108098,701,0,439.69537791486624,2922
412364987,412472399,1186,0,1439.5391319367636,2922
238598010,412331602,978,0,8403.823288566668,2922
412451244,412436469,130,0,529.6562301708819,2922
412467837,412321053,268,0,1942.9268580165842,2922
412331693,412436406,74,0,702.3971500711593,2922
227480000,247301090,7792,0,1747.470092694815,2922
440100368,412331807,14,0,858.6500502302093,2922
888810972,412444848,223,0,1171.6464047933655,2922
200010801,412349355,192,0,233.03887839943306,2922
412322484,412422065,274,0,638.9098650932259,2922
15201,412322501,365,186,141.6151989027042,2922
440152550,800049974,2859,0,853.5232239213514,2922
271072091,369519000,1865,0,9755.603568740664,2922
412061037,412448746,81,5,222.08248082489953,2922
412428937,440027420,764,0,777.4481135425517,2922
800036171,224005830,2198,0,9620.32528127284,2922
271073074,367133080,890,0,8146.669389032481,2922
412410322,235103397,4786,0,9405.487539865015,2922
247301090,412432592,1638,0,9480.616839324595,2922
316003227,412000923,580,0,10923.101620930145,2922
413000179,235065442,1688,0,8381.663084903399,2922
412427396,412082569,201,0,560.5511126241568,2922
412283766,412327406,494,0,428.72293742942463,2922
227301390,412213972,2576,0,8677.112675595597,2922
412450027,200007910,50,0,941.2168688841223,2922
211315220,412431564,674,0,8974.711753275209,2922
412425192,998508450,355,20,191.28293014240828,2922
412482661,988005881,258,0,989.5871151509161,2922
412431182,412444756,685,0,471.0596358097912,2922
259127000,263401250,3356,0,2994.0412061622055,2922
412320152,224063280,1159,0,10286.45581156786,2922
100059863,912022008,106,0,947.5314879271392,2922
247252280,859000000,1671,0,8710.844753826445,2922
227657280,412006566,592,0,10109.207836987545,2922
413002668,431008269,816,0,1930.556664719369,2922
238622210,413001153,1402,0,9133.154093825895,2922
710903610,412322468,870,0,18763.689009700203,2922
412348429,250003659,640,0,9041.069805869813,2922
412435602,271062053,149,0,8268.705536082665,2922
412469099,412324368,266,0,1785.4662399796043,2922
978925333,415131223,1218,12,139.4651193700548,2922
412015016,227657280,1411,0,8990.908828426238,2922
