src,dst,overlap_days,days_within_km,mean_distance_km,src_days_active,dst_days_active,overlap_ratio_days,close_ratio_days,files_used
257317000,316003227,389,0,,2156,468,0.8311965811965812,0.0,2922
813021762,412413289,341,0,,1206,857,0.39789964994165694,0.0,2922
412000690,412325200,257,1,0.0,734,444,0.5788288288288288,0.0022522522522522522,2922
251146940,224072680,242,0,,395,1159,0.6126582278481013,0.0,2922
412061791,412508302,73,0,,182,342,0.4010989010989011,0.0,2922
224017870,412428302,177,0,,889,388,0.45618556701030927,0.0,2922
412150903,237554000,49,0,,244,418,0.20081967213114754,0.0,2922
271072219,412671880,153,0,,447,1153,0.3422818791946309,0.0,2922
273810110,800050093,89,0,,2517,105,0.8476190476190476,0.0,2922
271072320,251422540,429,0,,871,1378,0.4925373134328358,0.0,2922
412436875,412836422,22,0,,157,202,0.14012738853503184,0.0,2922
412327536,316003779,46,0,,168,1449,0.27380952380952384,0.0,2922
205243000,412470145,431,0,,1995,590,0.7305084745762712,0.0,2922
224060150,412333102,41,0,,1657,74,0.5540540540540541,0.0,2922
412322715,257391020,192,0,,233,2008,0.8240343347639485,0.0,2922
412334569,412457054,146,0,,514,784,0.2840466926070039,0.0,2922
431007759,440122430,454,0,,900,1418,0.5044444444444445,0.0,2922
250002378,412449921,214,0,,1112,321,0.6666666666666666,0.0,2922
922564322,412436139,59,0,,121,455,0.48760330578512395,0.0,2922
205106000,258262000,908,0,,1448,1896,0.6270718232044199,0.0,2922
413772167,200012142,4,0,,39,231,0.10256410256410256,0.0,2922
412328726,251581340,159,0,,1090,247,0.6437246963562753,0.0,2922
200034921,440120830,141,0,,283,564,0.49823321554770317,0.0,2922
235004768,900019302,22,0,,583,90,0.24444444444444444,0.0,2922
412287252,431700348,307,0,,425,1526,0.7223529411764706,0.0,2922
412420857,412898896,0,0,,52,100,0.0,0.0,2922
900000104,413013474,64,0,,473,141,0.45390070921985815,0.0,2922
998512016,257006500,91,0,,136,1176,0.6691176470588235,0.0,2922
543345420,412460258,19,0,,48,733,0.3958333333333333,0.0,2922
412427363,412432384,66,0,,431,355,0.18591549295774648,0.0,2922
224137980,412214311,170,0,,480,539,0.3541666666666667,0.0,2922
800050719,900200966,53,0,,635,103,0.5145631067961165,0.0,2922
440105310,238988810,391,0,,555,1424,0.7045045045045045,0.0,2922
800051209,412160104,84,0,,130,559,0.6461538461538462,0.0,2922
413670066,412329737,6,0,,48,310,0.125,0.0,2922
249000150,412322136,69,0,,415,222,0.3108108108108108,0.0,2922
228219900,926002068,112,0,,796,219,0.5114155251141552,0.0,2922
108301290,412438845,3,0,,259,66,0.045454545454545456,0.0,2922
900403696,800043359,7,0,,421,45,0.15555555555555556,0.0,2922
780678229,412322669,35,0,,256,130,0.2692307692307692,0.0,2922
412330962,247054080,225,0,,497,862,0.45271629778672035,0.0,2922
412477576,412366352,160,0,,548,326,0.49079754601226994,0.0,2922
412365879,258095070,12,0,,227,337,0.05286343612334802,0.0,2922
800021236,227320070,137,0,,819,535,0.2560747663551402,0.0,2922
245159000,224186490,284,0,,2038,389,0.7300771208226221,0.0,2922
412326152,412567230,17,0,,355,92,0.18478260869565216,0.0,2922
412436149,412201652,124,0,,322,629,0.38509316770186336,0.0,2922
412324269,213432082,17,0,,375,165,0.10303030303030303,0.0,2922
412436755,412427824,29,0,,208,199,0.1457286432160804,0.0,2922
412437805,412327483,59,0,,279,319,0.2114695340501792,0.0,2922
247071010,412331589,233,0,,1096,469,0.4968017057569296,0.0,2922
273896300,224177240,1357,0,,2408,1594,0.8513174404015057,0.0,2922
412480774,412214618,24,0,,200,270,0.12,0.0,2922
