src,dst
257317000,316003227
813021762,412413289
412000690,412325200
251146940,224072680
412061791,412508302
224017870,412428302
412150903,237554000
271072219,412671880
273810110,800050093
271072320,251422540
412436875,412836422
412327536,316003779
205243000,412470145
224060150,412333102
412322715,257391020
412334569,412457054
431007759,440122430
250002378,412449921
922564322,412436139
205106000,258262000
413772167,200012142
412328726,251581340
200034921,440120830
235004768,900019302
412287252,431700348
412420857,412898896
900000104,413013474
998512016,257006500
543345420,412460258
412427363,412432384
224137980,412214311
800050719,900200966
440105310,238988810
800051209,412160104
413670066,412329737
249000150,412322136
228219900,926002068
108301290,412438845
900403696,800043359
780678229,412322669
412330962,247054080
412477576,412366352
412365879,258095070
800021236,227320070
245159000,224186490
412326152,412567230
412436149,412201652
412324269,213432082
412436755,412427824
412437805,412327483
247071010,412331589
273896300,224177240
412480774,412214618
247071970,412441347
412322743,247143230
900361019,412033504
200005403,412341689
978925333,905108098
412364987,412472399
238598010,412331602
412451244,412436469
412467837,412321053
412331693,412436406
227480000,247301090
440100368,412331807
888810972,412444848
200010801,412349355
412322484,412422065
15201,412322501
440152550,800049974
271072091,369519000
412061037,412448746
412428937,440027420
800036171,224005830
271073074,367133080
412410322,235103397
247301090,412432592
316003227,412000923
413000179,235065442
412427396,412082569
412283766,412327406
227301390,412213972
412450027,200007910
211315220,412431564
412425192,998508450
412482661,988005881
412431182,412444756
259127000,263401250
412320152,224063280
100059863,912022008
247252280,859000000
227657280,412006566
413002668,431008269
238622210,413001153
710903610,412322468
412348429,250003659
412435602,271062053
412469099,412324368
978925333,415131223
412015016,227657280
